image_name,true_text,raw_ocr,snapped_text,confidence,similarity,correct
TEST_0001.jpg,KEVIN,KFV TV,KFV TV,0.375,0.5,True
TEST_0002.jpg,CLOTAIRE,CL O T N G R I C R IAK,CL O T N G R I C R IAK,0.575,0.5714285714285714,True
TEST_0003.jpg,LENA,LE MA,LEMA,0.44671378099930037,0.75,True
TEST_0004.jpg,JULES,JV L ES,JV L ES,0.5776368497922324,0.6666666666666667,True
TEST_0005.jpg,CHERPIN,CHE BP N,CHE BP N,0.5933686375998978,0.6666666666666667,True
TEST_0006.jpg,MARTIN,YRE H MARTI N,YRE H MARTI N,0.6656279607379431,0.8333333333333335,True
TEST_0007.jpg,VALENTINE,VA L ENTI NE,VA L ENTI NE,0.475,0.8571428571428572,True
TEST_0008.jpg,LORAS,A LORAS,LORAS,0.47600216835023423,1.0,True
TEST_0009.jpg,THIBAULT,A H TH I Q A V LT,A H TH I Q A V LT,0.65,0.5,True
TEST_0010.jpg,AZABI,GOMM H A Z A G I,GOMM H A Z A G I,0.5,0.6,True
TEST_0011.jpg,GORTCHAKOFF,L A U P W K A GORTC MA KOFF,L A U P W K A GORTC MA KOFF,0.75,0.7272727272727273,True
TEST_0012.jpg,MAHENTHIRAN,MAFENTKI A AN,MAFENTKI A AN,0.525,0.6666666666666667,True
TEST_0013.jpg,FRANSOISSISEPH,FR A NSG IS IG F EPF,FR A NSG IS IG F EPF,0.8219845152340557,0.5925925925925926,True
TEST_0014.jpg,JEANNE,MALAD JE A WNE,MALAD JE A WNE,0.525,0.5454545454545454,True
TEST_0015.jpg,DEBORAH,RE H O E BOR A H,RE H O E BOR A H,0.5931891464056498,0.7142857142857143,True
TEST_0016.jpg,DROUCS,IET D R OVE S,IET D R OVE S,0.475,0.5,True
TEST_0017.jpg,JADE,J J OITFNFNAICSANCF CASGF,J J OITFNFNAICSANCF CASGF,0.8266755879722363,0.4,False
TEST_0018.jpg,CORNIL FRERROT,COR NI L FREA R DT,COR NI L FREA R DT,0.575,0.7692307692307692,True
TEST_0019.jpg,CLEMET,ZRE A CLEMENT Q,ZRE A CLEMENT Q,0.6866541682499843,0.8333333333333335,True
TEST_0020.jpg,RELIS,A E L B S,A E L B S,0.5922408568161877,0.4285714285714286,False
TEST_0021.jpg,NAMIZATA FATIM,N A HIZAT A F A TI K,N A HIZAT A F A TI K,0.6549081510383735,0.7142857142857143,True
TEST_0022.jpg,FOURNEL,FOUR NEL,FOURNEL,0.6216318658505988,1.0,True
TEST_0023.jpg,DICINTIO-ILLESCA,DI I NTIO IL LESCA,DI I NTIO IL LESCA,0.6,0.8235294117647058,True
TEST_0024.jpg,BARDOT,UO B A RDOT,UO B A RDOT,0.525,0.8333333333333335,True
TEST_0025.jpg,DUVAL,J L F K B DU VA L A,J L F K B DU VA L A,0.6,0.8,True
TEST_0026.jpg,ANTONY,YRE H X NT O NY,YRE H X NT O NY,0.575,0.6666666666666667,True
TEST_0027.jpg,LISA,RREA L T S A,RREA L T S A,0.525,0.5714285714285714,True
TEST_0028.jpg,CELIA,CE L I A EEEE C E ASCE,CE L I A EEEE C E ASCE,0.75,0.6666666666666667,True
TEST_0029.jpg,GRODZKI,GRO BZ KI,GRO BZ KI,0.425,0.75,True
TEST_0030.jpg,HUGO,J NUE O,J NUE O,0.525,0.5,True
TEST_0031.jpg,HUGO,KUG O,UGO,0.7382353730020021,1.0,True
TEST_0032.jpg,ELOUEN,ELOVEN,NEOVEN,0.6421982325843295,0.7272727272727273,True
TEST_0033.jpg,SCHOEMAECKER,O H S C MOE HA C K E R,O H S C MOE HA C K E R,0.6530043159096914,0.5454545454545454,True
TEST_0034.jpg,HOARAU,HOAR AU,AIUHOA,0.6584327715701271,0.6666666666666667,True
TEST_0035.jpg,STEENKERSTE,ST EENKERST F,ST EENKERST F,0.5255255946394661,0.9090909090909091,True
TEST_0036.jpg,DI -FONZO,D I FONZC,D I FONZC,0.425,0.8235294117647058,True
TEST_0037.jpg,BUIREY,Y J I I W B V F RE Y,Y J I I W B V F RE Y,0.6,0.6,True
TEST_0038.jpg,ROMAN,H RO N Y N,H RO N Y N,0.475,0.6,True
TEST_0039.jpg,MILLE,MILL E,EMIL,0.5626586630063344,0.8571428571428572,True
TEST_0040.jpg,CAROLINE,C AROLING,C AROLING,0.5404140749192341,0.875,True
